Livro;Page ID;Titulo;text.txt;referencia.txt;Audio Fonte;audio.mp3;timestamps.json;index.html;index.json;Palavras;HTML Size (KB);Status
3;livro3-let10;Eu fui lá não sei aonde;OK;OK;livro3_let10.mp3;OK;OK;OK;OK;27;40.9;COMPLETO
3;livro3-let11;Quem quiser saber meu nome;OK;OK;livro3_let11.mp3;OK;OK;OK;OK;24;40.4;COMPLETO
3;livro3-let16;Adivinha;OK;OK;livro3_let16.mp3;OK;OK;OK;OK;23;40.3;COMPLETO
3;livro3-let18;Tem picolé, seu José;OK;OK;livro3_let18.mp3;OK;OK;OK;OK;38;42.4;COMPLETO
3;livro3-let24;O bicho-preguiça;OK;OK;livro3_let24.mp3;OK;OK;OK;OK;116;53.0;COMPLETO
3;livro3-let36;Bule de chá;OK;OK;livro3_let36.mp3;OK;OK;OK;OK;56;45.0;COMPLETO
3;livro3-let37;Lamento à beira-mar;OK;OK;livro3_let37.mp3;OK;OK;OK;OK;33;41.7;COMPLETO
3;livro3-let41;6 curiosidades sobre o sol que você precisa saber;OK;OK;livro3_let41.mp3;OK;OK;OK;OK;53;44.4;COMPLETO
3;livro3-let43;Os vilões do oceano;OK;OK;livro3_let43.mp3;OK;OK;OK;OK;109;52.1;COMPLETO
3;livro3-let45;Como as aves escutam se elas não têm orelhas?;OK;OK;livro3_let45.mp3;OK;OK;OK;OK;111;52.1;COMPLETO
3;livro3-let47;Papo de gato;OK;OK;livro3_let47.mp3;OK;OK;OK;OK;65;46.2;COMPLETO
3;livro3-let5;Não falo, mas sempre explico;OK;OK;livro3_let5.mp3;OK;OK;OK;OK;21;40.1;COMPLETO
3;livro3-let53;O gato e a raposa;OK;OK;livro3_let53.mp3;OK;OK;OK;OK;135;55.5;COMPLETO
3;livro3-let57;Peteca;OK;OK;livro3_let57.mp3;OK;OK;OK;OK;61;46.0;COMPLETO
3;livro3-let69;Fim do mistério: zoológico na Inglaterra confirma que urso chinês é real e não um humano fantasiado;OK;OK;livro3_let69.mp3;OK;OK;OK;OK;179;62.6;COMPLETO
3;livro3-let71;A chimpanzé que aprendeu a falar;OK;OK;livro3_let71.mp3;OK;OK;OK;OK;138;55.9;COMPLETO
3;livro3-let72;Os viajantes e o urso;OK;OK;livro3_let72.mp3;OK;OK;OK;OK;138;55.7;COMPLETO
3;livro3-let75;Nada;OK;OK;livro3_let75.mp3;OK;OK;OK;OK;128;54.4;COMPLETO
4;livro4-let14;Conheça Polly, a cabra que só se acalma fantasiada de pato;OK;OK;livro4_let14.mp3;OK;OK;OK;OK;150;58.0;COMPLETO
4;livro4-let15;Borbolonça;OK;OK;livro4_let15.mp3;OK;OK;OK;OK;30;41.4;COMPLETO
4;livro4-let24;Cientistas descobrem nova espécie de sapo de 1 centímetro em parque de Santa Catarina;OK;OK;livro4_let24.mp3;OK;OK;OK;OK;74;47.7;COMPLETO
4;livro4-let31;Cadeira;OK;OK;livro4_let31.mp3;OK;OK;OK;OK;33;41.8;COMPLETO
4;livro4-let38;Cachinhos Dourados e os três ursos;OK;OK;livro4_let38.mp3;OK;OK;OK;OK;449;100.5;COMPLETO
